TagName,Purpose,IsCritical,Direction,TriggerCondition,Remarks,EquipmentCode
Packing.Bagging.Status,,,Input,,,Packing
Packing.Bagging.Request,ProcessTrigger,,Input,=1,,Packing
Packing.Bagging.Code,,,Input,,,Packing
Palletizer.Palletizing.Status,,,Input,,,Palletizer
Palletizer.Palletizing.Request,ProcessTrigger,,Input,=1,,Palletizer
Palletizer.Palletizing.Code,,,Input,,,Palletizer
Palletizer.Palletizing.Sn,,,Input,,,Palletizer
StackRemoval.Grouping.Request,ProcessTrigger,,Input,=1,,StackRemoval
StackRemoval.Grouping.Code,,,Input,,,StackRemoval
Packing.Bagging.Done,,,OutPut,,,Packing
Palletizer.Palletizing.Done,,,OutPut,,,Palletizer
Palletizer.Palletizing.Position,,,OutPut,,,Palletizer
StackRemoval.Grouping.Done,,,OutPut,,,StackRemoval
